Level,Test,Race,School,Value
Proficient,Reading,Latino/Hisp ,OCn,253
Proficient,Reading,Native Amer.,HPS Regular,NA
Proficient,Reading,Native Amer.,HREGn,NA
Proficient,Reading,Native Amer.,Hartford Magnet,NA
Proficient,Reading,Native Amer.,HMn,NA
Proficient,Reading,Native Amer.,CREC Magnet ,NA
Proficient,Reading,Native Amer.,CRn,NA
Proficient,Reading,Native Amer.,Open Choice,NA
Proficient,Reading,Native Amer.,OCn,NA
Proficient,Reading,African Amer.,HPS Regular,55.9
Proficient,Reading,African Amer.,HREGn,1853
Proficient,Reading,African Amer.,Hartford Magnet,72.9
Proficient,Reading,African Amer.,HMn,650
Proficient,Reading,African Amer.,CREC Magnet ,70.2
Proficient,Reading,African Amer.,CRn,275
Proficient,Reading,African Amer.,Open Choice,69.3
Proficient,Reading,African Amer.,OCn,485
Proficient,Reading,Asian,HPS Regular,42.6
Proficient,Reading,Asian,HREGn,115
Proficient,Reading,Asian,Hartford Magnet,78.1
Proficient,Reading,Asian,HMn,32
Proficient,Reading,Asian,CREC Magnet ,NA
Proficient,Reading,Asian,CRn,NA
Proficient,Reading,Asian,Open Choice,NA
Proficient,Reading,Asian,OCn,NA
Proficient,Reading,Hawaiian/Pacific,HPS Regular,NA
Proficient,Reading,Hawaiian/Pacific,HREGn,NA
Proficient,Reading,Hawaiian/Pacific,Hartford Magnet,NA
Proficient,Reading,Hawaiian/Pacific,HMn,NA
Proficient,Reading,Hawaiian/Pacific,CREC Magnet ,NA
Proficient,Reading,Hawaiian/Pacific,CRn,NA
Proficient,Reading,Hawaiian/Pacific,Open Choice,NA
Proficient,Reading,Hawaiian/Pacific,OCn,NA
Proficient,Reading,White,HPS Regular,70.6
Proficient,Reading,White,HREGn,231
Proficient,Reading,White,Hartford Magnet,89.2
Proficient,Reading,White,HMn,111
Proficient,Reading,White,CREC Magnet ,NA
Proficient,Reading,White,CRn,NA
Proficient,Reading,White,Open Choice,NA
Proficient,Reading,White,OCn,NA
Proficient,Reading,Two + races,HPS Regular,43.3
Proficient,Reading,Two + races,HREGn,134
Proficient,Reading,Two + races,Hartford Magnet,86.8
Proficient,Reading,Two + races,HMn,38
Proficient,Reading,Two + races,CREC Magnet ,NA
Proficient,Reading,Two + races,CRn,NA
Proficient,Reading,Two + races,Open Choice,NA
Proficient,Reading,Two + races,OCn,NA
Proficient,Math,Latino/Hisp ,HPS Regular,44.2
Proficient,Math,Latino/Hisp ,HREGn,3251
Proficient,Math,Latino/Hisp ,Hartford Magnet,68.2
Proficient,Math,Latino/Hisp ,HMn,833
Proficient,Math,Latino/Hisp ,CREC Magnet ,76
Proficient,Math,Latino/Hisp ,CRn,267
Proficient,Math,Latino/Hisp ,Open Choice,71.2
Proficient,Math,Latino/Hisp ,OCn,267
Proficient,Math,Native Amer.,HPS Regular,NA
Proficient,Math,Native Amer.,HREGn,NA
Proficient,Math,Native Amer.,Hartford Magnet,NA
Proficient,Math,Native Amer.,HMn,NA
Proficient,Math,Native Amer.,CREC Magnet ,NA
Proficient,Math,Native Amer.,CRn,NA
Proficient,Math,Native Amer.,Open Choice,NA
Proficient,Math,Native Amer.,OCn,NA
Proficient,Math,African Amer.,HPS Regular,52.9
Proficient,Math,African Amer.,HREGn,1886
Proficient,Math,African Amer.,Hartford Magnet,62.6
Proficient,Math,African Amer.,HMn,652
Proficient,Math,African Amer.,CREC Magnet ,71
Proficient,Math,African Amer.,CRn,276
Proficient,Math,African Amer.,Open Choice,69.6
Proficient,Math,African Amer.,OCn,496
Proficient,Math,Asian,HPS Regular,54.8
Proficient,Math,Asian,HREGn,135
Proficient,Math,Asian,Hartford Magnet,77.4
Proficient,Math,Asian,HMn,31
Proficient,Math,Asian,CREC Magnet ,NA
Proficient,Math,Asian,CRn,NA
Proficient,Math,Asian,Open Choice,NA
Proficient,Math,Asian,OCn,NA
Proficient,Math,Hawaiian/Pacific,HPS Regular,NA
Proficient,Math,Hawaiian/Pacific,HREGn,NA
Proficient,Math,Hawaiian/Pacific,Hartford Magnet,NA
Proficient,Math,Hawaiian/Pacific,HMn,NA
Proficient,Math,Hawaiian/Pacific,CREC Magnet ,NA
Proficient,Math,Hawaiian/Pacific,CRn,NA
Proficient,Math,Hawaiian/Pacific,Open Choice,NA
Proficient,Math,Hawaiian/Pacific,OCn,NA
Proficient,Math,White,HPS Regular,68
Proficient,Math,White,HREGn,247
Proficient,Math,White,Hartford Magnet,85.6
Proficient,Math,White,HMn,111
Proficient,Math,White,CREC Magnet ,NA
Proficient,Math,White,CRn,NA
Proficient,Math,White,Open Choice,NA
Proficient,Math,White,OCn,NA
Proficient,Math,Two + races,HPS Regular,44.1
Proficient,Math,Two + races,HREGn,136
Proficient,Math,Two + races,Hartford Magnet,76.3
Proficient,Math,Two + races,HMn,38
Proficient,Math,Two + races,CREC Magnet ,NA
Proficient,Math,Two + races,CRn,NA
