District ID,District Name,School Year,Number Eligible for Free/ Reduced Price Lunch,Total Enrollment,Percent Eligible for Free/ Reduced Lunch
107,Orange School District,2006-07,49,1396,3.5
108,Oxford School District,2006-07,90,1575,5.7
283,Park City Prep Charter School,2006-07,99,176,56.3
109,Plainfield School District,2006-07,854,2803,30.5
110,Plainville School District,2006-07,469,2597,18.1
111,Plymouth School District,2006-07,268,1917,14
112,Pomfret School District,2006-07,48,540,8.9
113,Portland School District,2006-07,143,1451,9.9
114,Preston School District,2006-07,57,498,11.4
116,Putnam School District,2006-07,592,1339,44.2
117,Redding School District,2006-07,14,1287,1.1
201,Regional School District 01,2006-07,71,565,12.6
204,Regional School District 04,2006-07,69,946,7.3
205,Regional School District 05,2006-07,46,2509,1.8
206,Regional School District 06,2006-07,82,1077,7.6
207,Regional School District 07,2006-07,23,1105,2.1
208,Regional School District 08,2006-07,59,1645,3.6
209,Regional School District 09,2006-07,2,962,0.2
210,Regional School District 10,2006-07,87,2824,3.1
211,Regional School District 11,2006-07,48,325,14.8
212,Regional School District 12,2006-07,28,1062,2.6
213,Regional School District 13,2006-07,103,2167,4.8
214,Regional School District 14,2006-07,104,2273,4.6
215,Regional School District 15,2006-07,74,4572,1.6
216,Regional School District 16,2006-07,220,2682,8.2
217,Regional School District 17,2006-07,140,2502,5.6
218,Regional School District 18,2006-07,58,1521,3.8
219,Regional School District 19,2006-07,82,1201,6.8
118,Ridgefield School District,2006-07,58,5575,1
119,Rocky Hill School District,2006-07,159,2576,6.2
121,Salem School District,2006-07,24,530,4.5
122,Salisbury School District,2006-07,31,311,10
123,Scotland School District,2006-07,33,191,17.3
124,Seymour School District,2006-07,351,2737,12.8
125,Sharon School District,2006-07,35,231,15.2
126,Shelton School District,2006-07,555,5691,9.8
270,Side By Side Community School District,2006-07,87,235,37
128,Simsbury School District,2006-07,192,4992,3.8
129,Somers School District,2006-07,83,1734,4.8
132,South Windsor School District,2006-07,288,5027,5.7
131,Southington School District,2006-07,536,6934,7.7
133,Sprague School District,2006-07,82,337,24.3
134,Stafford School District,2006-07,403,1951,20.7
282,Stamford Academy,2006-07,113,122,92.6
135,Stamford School District,2006-07,5776,14975,38.6
136,Sterling School District,2006-07,106,478,22.2
137,Stonington School District,2006-07,269,2555,10.5
138,Stratford School District,2006-07,2223,7366,30.2
139,Suffield School District,2006-07,118,2596,4.5
269,The Bridge Academy District,2006-07,189,251,75.3
902,The Gilbert School,2006-07,102,466,21.9
140,Thomaston School District,2006-07,165,1274,13
141,Thompson School District,2006-07,320,1508,21.2
142,Tolland School District,2006-07,129,3142,4.1
143,Torrington School District,2006-07,1365,4858,28.1
278,Trailblazers Academy District,2006-07,115,150,76.7
144,Trumbull School District,2006-07,266,6719,4
145,Union School District,2006-07,4,69,5.8
146,Vernon School District,2006-07,972,3783,25.7
147,Voluntown School District,2006-07,106,311,34.1
148,Wallingford School District,2006-07,534,6914,7.7
151,Waterbury School District,2006-07,12587,17811,70.7
152,Waterford School District,2006-07,249,2967,8.4
153,Watertown School District,2006-07,422,3503,12
155,West Hartford School District,2006-07,1442,10117,14.3
156,West Haven School District,2006-07,2604,6735,38.7
154,Westbrook School District,2006-07,95,991,9.6
157,Weston School District,2006-07,15,2610,0.6
158,Westport School District,2006-07,93,5570,1.7
159,Wethersfield School District,2006-07,400,3832,10.4
160,Willington School District,2006-07,65,594,10.9
161,Wilton School District,2006-07,26,4371,0.6
162,Winchester School District,2006-07,326,1074,30.4
163,Windham School District,2006-07,2151,3376,63.7
165,Windsor Locks School District,2006-07,391,1907,20.5
164,Windsor School District,2006-07,1133,4145,27.3
166,Wolcott School District,2006-07,414,2919,14.2
167,Woodbridge School District,2006-07,20,793,2.5
903,Woodstock Academy,2006-07,48,1146,4.2
169,Woodstock School District,2006-07,83,963,8.6
279,Amistad Academy District,2005-06,226,270,83.7
1,Andover School District,2005-06,14,360,3.9
2,Ansonia School District,2005-06,1243,2714,45.8
244,Area Cooperative Educational Services,2005-06,546,1479,36.9
3,Ashford School District,2005-06,84,556,15.1
4,Avon School District,2005-06,54,3379,1.6
5,Barkhamsted School District,2005-06,18,340,5.3
7,Berlin School District,2005-06,149,3343,4.5
8,Bethany School District,2005-06,12,557,2.2
9,Bethel School District,2005-06,216,3221,6.7
11,Bloomfield School District,2005-06,875,2308,37.9
12,Bolton School District,2005-06,56,931,6
13,Bozrah School District,2005-06,53,277,19.1
14,Branford School District,2005-06,447,3550,12.6
15,Bridgeport School District,2005-06,21675,21675,100
17,Bristol School District,2005-06,2592,9021,28.7
18,Brookfield School District,2005-06,112,3078,3.6
19,Brooklyn School District,2005-06,167,1004,16.6
21,Canaan School District,2005-06,6,102,5.9
22,Canterbury School District,2005-06,71,572,12.4
23,Canton School District,2005-06,54,1719,3.1
241,Capitol Region Education Council,2005-06,659,2296,28.7
24,Chaplin School District,2005-06,43,232,18.5
25,Cheshire School District,2005-06,146,5151,2.8
26,Chester School District,2005-06,9,322,2.8
27,Clinton School District,2005-06,180,2174,8.3
28,Colchester School District,2005-06,142,3153,4.5
29,Colebrook School District,2005-06,7,116,6
30,Columbia School District,2005-06,30,647,4.6
268,Common Ground High School District,2005-06,108,136,79.4
900,Connecticut Technical High School System,2005-06,3448,10325,33.4
243,Cooperative Educational Services,2005-06,165,421,39.2
32,Coventry School District,2005-06,183,2086,8.8
33,Cromwell School District,2005-06,175,1967,8.9
34,Danbury School District,2005-06,3164,9586,33
35,Darien School District,2005-06,53,4475,1.2
36,Deep River School District,2005-06,31,382,8.1
37,Derby School District,2005-06,588,1485,39.6
40,East Granby School District,2005-06,4,905,0.4
41,East Haddam School District,2005-06,108,1406,7.7
42,East Hampton School District,2005-06,172,2109,8.2
43,East Hartford School District,2005-06,3446,7426,46.4
44,East Haven School District,2005-06,1019,3808,26.8
45,East Lyme School District,2005-06,134,3239,4.1
47,East Windsor School District,2005-06,331,1563,21.2
39,Eastford School District,2005-06,32,174,18.4
46,Easton School District,2005-06,8,1154,0.7
48,Ellington School District,2005-06,125,2494,5
289,Elm City College Preparatory School,2005-06,202,256,78.9
49,Enfield School District,2005-06,1331,6514,20.4
50,Essex School District,2005-06,16,552,2.9
272,Explorations District,2005-06,18,80,22.5
51,Fairfield School District,2005-06,559,9141,6.1
52,Farmington School District,2005-06,220,4277,5.1
53,Franklin School District,2005-06,17,231,7.4
54,Glastonbury School District,2005-06,285,6723,4.2
56,Granby School District,2005-06,49,2261,2.2
57,Greenwich School District,2005-06,624,8973,7
58,Griswold School District,2005-06,482,2229,21.6
59,Groton School District,2005-06,1365,5334,25.6
60,Guilford School District,2005-06,166,3839,4.3
62,Hamden School District,2005-06,1628,6197,26.3
63,Hampton School District,2005-06,18,166,10.8
64,Hartford School District,2005-06,14944,22012,67.9
67,Hebron School District,2005-06,45,1244,3.6
277,Highville Mustard Seed Charter School District,2005-06,211,302,69.9
264,Integrated Day Charter School District,2005-06,71,301,23.6
265,Interdistrict School for Arts and Comm District,2005-06,85,181,47
261,Jumoke Academy District,2005-06,300,300,100
68,Kent School District,2005-06,30,282,10.6
69,Killingly School District,2005-06,979,2808,34.9
245,Learn,2005-06,406,967,42
71,Lebanon School District,2005-06,119,1531,7.8
72,Ledyard School District,2005-06,179,2927,6.1
73,Lisbon School District,2005-06,94,588,16
74,Litchfield School District,2005-06,65,1296,5
76,Madison School District,2005-06,70,3834,1.8
77,Manchester School District,2005-06,2653,7099,37.4
78,Mansfield School District,2005-06,156,1314,11.9
79,Marlborough School District,2005-06,20,640,3.1
80,Meriden School District,2005-06,5012,8874,56.5
83,Middletown School District,2005-06,1673,5148,32.5
84,Milford School District,2005-06,1189,7569,15.7
85,Monroe School District,2005-06,96,4459,2.2
86,Montville School District,2005-06,430,2949,14.6
88,Naugatuck School District,2005-06,1322,5169,25.6
280,"New Beginnings Inc., Family Academy District",2005-06,161,261,61.7
89,New Britain School District,2005-06,6762,10870,62.2
90,New Canaan School District,2005-06,53,4140,1.3
91,New Fairfield School District,2005-06,167,3133,5.3
92,New Hartford School District,2005-06,29,631,4.6
93,New Haven School District,2005-06,12365,19648,62.9
95,New London School District,2005-06,2217,2962,74.8
96,New Milford School District,2005-06,424,5096,8.3
94,Newington School District,2005-06,628,4604,13.6
97,Newtown School District,2005-06,92,5606,1.6
98,Norfolk School District,2005-06,10,158,6.3
99,North Branford School District,2005-06,211,2512,8.4
100,North Canaan School District,2005-06,84,394,21.3
101,North Haven School District,2005-06,272,3925,6.9
102,North Stonington School District,2005-06,131,835,15.7
103,Norwalk School District,2005-06,3394,10891,31.2
901,Norwich Free Academy,2005-06,431,2561,16.8
104,Norwich School District,2005-06,2057,3897,52.8
263,Odyssey Community School District,2005-06,73,174,42
106,Old Saybrook School District,2005-06,109,1560,7
107,Orange School District,2005-06,35,1381,2.5
108,Oxford School District,2005-06,102,1535,6.6
109,Plainfield School District,2005-06,818,2660,30.8
110,Plainville School District,2005-06,457,2606,17.5
111,Plymouth School District,2005-06,277,1897,14.6
112,Pomfret School District,2005-06,44,542,8.1
113,Portland School District,2005-06,140,1402,10
114,Preston School District,2005-06,39,479,8.1
116,Putnam School District,2005-06,455,1259,36.1
117,Redding School District,2005-06,13,1276,1
201,Regional School District 01,2005-06,52,627,8.3
204,Regional School District 04,2005-06,65,931,7
205,Regional School District 05,2005-06,41,2455,1.7
206,Regional School District 06,2005-06,69,1111,6.2
207,Regional School District 07,2005-06,19,1098,1.7
208,Regional School District 08,2005-06,54,1619,3.3
209,Regional School District 09,2005-06,6,987,0.6
210,Regional School District 10,2005-06,85,2795,3
211,Regional School District 11,2005-06,62,347,17.9
212,Regional School District 12,2005-06,32,1105,2.9
213,Regional School District 13,2005-06,81,2169,3.7
214,Regional School District 14,2005-06,123,2296,5.4
215,Regional School District 15,2005-06,83,4547,1.8
216,Regional School District 16,2005-06,216,2665,8.1
217,Regional School District 17,2005-06,67,2469,2.7
218,Regional School District 18,2005-06,47,1542,3
219,Regional School District 19,2005-06,71,1270,5.6
118,Ridgefield School District,2005-06,57,5612,1
119,Rocky Hill School District,2005-06,174,2556,6.8
121,Salem School District,2005-06,9,545,1.7
122,Salisbury School District,2005-06,29,317,9.1
123,Scotland School District,2005-06,22,168,13.1
124,Seymour School District,2005-06,358,2687,13.3
125,Sharon School District,2005-06,34,239,14.2
126,Shelton School District,2005-06,615,5764,10.7
270,Side By Side Community School District,2005-06,91,235,38.7
128,Simsbury School District,2005-06,172,5057,3.4
129,Somers School District,2005-06,81,1743,4.6
132,South Windsor School District,2005-06,270,5084,5.3
131,Southington School District,2005-06,518,6842,7.6
133,Sprague School District,2005-06,85,344,24.7
134,Stafford School District,2005-06,392,1965,19.9
282,Stamford Academy,2005-06,102,113,90.3
135,Stamford School District,2005-06,6672,15092,44.2
136,Sterling School District,2005-06,78,487,16
137,Stonington School District,2005-06,307,2548,12
138,Stratford School District,2005-06,2567,7479,34.3
139,Suffield School District,2005-06,107,2533,4.2
269,The Bridge Academy District,2005-06,123,186,66.1
902,The Gilbert School,2005-06,99,479,20.7
140,Thomaston School District,2005-06,143,1299,11
141,Thompson School District,2005-06,310,1533,20.2
142,Tolland School District,2005-06,86,3156,2.7
143,Torrington School District,2005-06,1358,4930,27.5
278,Trailblazers Academy District,2005-06,105,132,79.5
144,Trumbull School District,2005-06,245,6713,3.6
145,Union School District,2005-06,2,74,2.7
146,Vernon School District,2005-06,743,3936,18.9
147,Voluntown School District,2005-06,61,298,20.5
148,Wallingford School District,2005-06,372,7010,5.3
151,Waterbury School District,2005-06,11666,17651,66.1
152,Waterford School District,2005-06,220,2988,7.4
153,Watertown School District,2005-06,404,3556,11.4
155,West Hartford School District,2005-06,1416,9986,14.2
156,West Haven School District,2005-06,2839,6882,41.3
154,Westbrook School District,2005-06,88,1014,8.7
157,Weston School District,2005-06,15,2569,0.6
158,Westport School District,2005-06,104,5448,1.9
159,Wethersfield School District,2005-06,376,3736,10.1
160,Willington School District,2005-06,58,594,9.8
161,Wilton School District,2005-06,25,4353,0.6
162,Winchester School District,2005-06,417,1089,38.3
163,Windham School District,2005-06,2263,3372,67.1
165,Windsor Locks School District,2005-06,395,1954,20.2
164,Windsor School District,2005-06,1088,4223,25.8
166,Wolcott School District,2005-06,442,2966,14.9
167,Woodbridge School District,2005-06,29,825,3.5
903,Woodstock Academy,2005-06,29,1141,2.5
169,Woodstock School District,2005-06,81,995,8.1
279,Amistad Academy District,2004-05,192,264,72.7
1,Andover School District,2004-05,21,383,5.5
2,Ansonia School District,2004-05,1253,2705,46.3
244,Area Cooperative Educational Services,2004-05,535,1493,35.8
3,Ashford School District,2004-05,89,577,15.4
4,Avon School District,2004-05,61,3310,1.8
5,Barkhamsted School District,2004-05,18,339,5.3
7,Berlin School District,2004-05,191,3352,5.7
8,Bethany School District,2004-05,19,583,3.3
9,Bethel School District,2004-05,210,3258,6.4
11,Bloomfield School District,2004-05,902,2366,38.1
12,Bolton School District,2004-05,94,933,10.1
13,Bozrah School District,2004-05,33,283,11.7
14,Branford School District,2004-05,465,3546,13.1
15,Bridgeport School District,2004-05,21629,22222,97.3
17,Bristol School District,2004-05,2476,9029,27.4
19,Brooklyn School District,2004-05,175,999,17.5
21,Canaan School District,2004-05,12,114,10.5
22,Canterbury School District,2004-05,70,573,12.2
23,Canton School District,2004-05,52,1699,3.1
241,Capitol Region Education Council,2004-05,585,2304,25.4
24,Chaplin School District,2004-05,33,233,14.2
25,Cheshire School District,2004-05,166,5150,3.2
26,Chester School District,2004-05,14,333,4.2
27,Clinton School District,2004-05,207,2167,9.6
28,Colchester School District,2004-05,143,3108,4.6
29,Colebrook School District,2004-05,8,121,6.6
30,Columbia School District,2004-05,16,659,2.4
268,Common Ground High School District,2004-05,108,135,80
900,Connecticut Technical High School System,2004-05,3768,10836,34.8
243,Cooperative Educational Services,2004-05,202,419,48.2
31,Cornwall School District,2004-05,3,142,2.1
32,Coventry School District,2004-05,199,2105,9.5
33,Cromwell School District,2004-05,203,1925,10.5
34,Danbury School District,2004-05,2637,9556,27.6
35,Darien School District,2004-05,66,4367,1.5
36,Deep River School District,2004-05,21,375,5.6
37,Derby School District,2004-05,558,1492,37.4
40,East Granby School District,2004-05,9,888,1
41,East Haddam School District,2004-05,124,1420,8.7
42,East Hampton School District,2004-05,171,2116,8.1
43,East Hartford School District,2004-05,3756,7406,50.7
44,East Haven School District,2004-05,1051,3872,27.1
45,East Lyme School District,2004-05,141,3235,4.4
47,East Windsor School District,2004-05,308,1586,19.4
39,Eastford School District,2004-05,18,182,9.9
46,Easton School District,2004-05,2,1137,0.2
48,Ellington School District,2004-05,121,2434,5
289,Elm City College Preparatory School,2004-05,116,151,76.8
49,Enfield School District,2004-05,1339,6584,20.3
50,Essex School District,2004-05,17,543,3.1
272,Explorations District,2004-05,24,78,30.8
51,Fairfield School District,2004-05,441,8895,5
52,Farmington School District,2004-05,200,4369,4.6
53,Franklin School District,2004-05,21,239,8.8
54,Glastonbury School District,2004-05,216,6628,3.3
56,Granby School District,2004-05,42,2225,1.9
57,Greenwich School District,2004-05,682,9100,7.5
58,Griswold School District,2004-05,328,2167,15.1
59,Groton School District,2004-05,1496,5589,26.8
60,Guilford School District,2004-05,150,3819,3.9
62,Hamden School District,2004-05,1601,6304,25.4
63,Hampton School District,2004-05,16,162,9.9
64,Hartford School District,2004-05,14840,22296,66.6
65,Hartland School District,2004-05,4,233,1.7
67,Hebron School District,2004-05,35,1198,2.9
277,Highville Mustard Seed Charter School District,2004-05,229,303,75.6
264,Integrated Day Charter School District,2004-05,53,300,17.7
265,Interdistrict School for Arts and Comm District,2004-05,66,165,40
261,Jumoke Academy District,2004-05,294,294,100
68,Kent School District,2004-05,25,308,8.1
69,Killingly School District,2004-05,1036,2883,35.9
245,Learn,2004-05,219,486,45.1
71,Lebanon School District,2004-05,144,1522,9.5
72,Ledyard School District,2004-05,178,3011,5.9
73,Lisbon School District,2004-05,98,628,15.6
74,Litchfield School District,2004-05,53,1363,3.9
76,Madison School District,2004-05,53,3773,1.4
77,Manchester School District,2004-05,2343,7361,31.8
78,Mansfield School District,2004-05,210,1376,15.3
79,Marlborough School District,2004-05,8,636,1.3
80,Meriden School District,2004-05,4834,8946,54
83,Middletown School District,2004-05,1685,5155,32.7
84,Milford School District,2004-05,1145,7525,15.2
85,Monroe School District,2004-05,85,4349,2
86,Montville School District,2004-05,394,2887,13.6
88,Naugatuck School District,2004-05,1417,5298,26.7
280,"New Beginnings Inc., Family Academy District",2004-05,148,228,64.9
89,New Britain School District,2004-05,6795,10863,62.6
90,New Canaan School District,2004-05,21,4067,0.5
91,New Fairfield School District,2004-05,135,3129,4.3
92,New Hartford School District,2004-05,26,632,4.1
93,New Haven School District,2004-05,14386,19825,72.6
95,New London School District,2004-05,1959,3055,64.1
96,New Milford School District,2004-05,325,5206,6.2
94,Newington School District,2004-05,620,4624,13.4
97,Newtown School District,2004-05,103,5452,1.9
98,Norfolk School District,2004-05,8,150,5.3
99,North Branford School District,2004-05,215,2525,8.5
100,North Canaan School District,2004-05,92,391,23.5
101,North Haven School District,2004-05,243,3807,6.4
102,North Stonington School District,2004-05,114,845,13.5
103,Norwalk School District,2004-05,2555,11039,23.1
901,Norwich Free Academy,2004-05,102,2424,4.2
104,Norwich School District,2004-05,2080,3991,52.1
263,Odyssey Community School District,2004-05,50,141,35.5
106,Old Saybrook School District,2004-05,127,1569,8.1
107,Orange School District,2004-05,15,1378,1.1
108,Oxford School District,2004-05,101,1486,6.8
109,Plainfield School District,2004-05,751,2618,28.7
110,Plainville School District,2004-05,419,2604,16.1
111,Plymouth School District,2004-05,241,1936,12.4
112,Pomfret School District,2004-05,48,521,9.2
113,Portland School District,2004-05,128,1426,9
114,Preston School District,2004-05,48,491,9.8
116,Putnam School District,2004-05,445,1329,33.5
117,Redding School District,2004-05,8,1298,0.6
201,Regional School District 01,2004-05,35,613,5.7
204,Regional School District 04,2004-05,74,862,8.6
205,Regional School District 05,2004-05,50,2492,2
206,Regional School District 06,2004-05,66,1068,6.2
207,Regional School District 07,2004-05,26,1083,2.4
208,Regional School District 08,2004-05,37,1582,2.3
209,Regional School District 09,2004-05,10,984,1
210,Regional School District 10,2004-05,66,2721,2.4
211,Regional School District 11,2004-05,55,333,16.5
212,Regional School District 12,2004-05,7,1139,0.6
213,Regional School District 13,2004-05,66,2179,3
214,Regional School District 14,2004-05,96,2303,4.2
215,Regional School District 15,2004-05,83,4494,1.8
216,Regional School District 16,2004-05,211,2666,7.9
217,Regional School District 17,2004-05,87,2401,3.6
218,Regional School District 18,2004-05,50,1582,3.2
219,Regional School District 19,2004-05,90,1251,7.2
118,Ridgefield School District,2004-05,61,5560,1.1
119,Rocky Hill School District,2004-05,154,2486,6.2
121,Salem School District,2004-05,14,567,2.5
122,Salisbury School District,2004-05,26,331,7.9
123,Scotland School District,2004-05,27,186,14.5
124,Seymour School District,2004-05,341,2664,12.8
125,Sharon School District,2004-05,33,258,12.8
126,Shelton School District,2004-05,551,5717,9.6
270,Side By Side Community School District,2004-05,86,235,36.6
128,Simsbury School District,2004-05,173,5055,3.4
129,Somers School District,2004-05,49,1733,2.8
132,South Windsor School District,2004-05,279,5073,5.5
131,Southington School District,2004-05,488,6829,7.1
133,Sprague School District,2004-05,83,326,25.5
134,Stafford School District,2004-05,402,1988,20.2
282,Stamford Academy,2004-05,87,102,85.3
135,Stamford School District,2004-05,6434,14998,42.9
136,Sterling School District,2004-05,77,476,16.2
137,Stonington School District,2004-05,279,2480,11.3
138,Stratford School District,2004-05,2575,7568,34
139,Suffield School District,2004-05,114,2492,4.6
269,The Bridge Academy District,2004-05,129,175,73.7
902,The Gilbert School,2004-05,101,516,19.6
140,Thomaston School District,2004-05,139,1312,10.6
141,Thompson School District,2004-05,257,1489,17.3
142,Tolland School District,2004-05,106,3102,3.4
143,Torrington School District,2004-05,1345,4988,27
278,Trailblazers Academy District,2004-05,100,121,82.6
144,Trumbull School District,2004-05,231,6669,3.5
145,Union School District,2004-05,4,76,5.3
146,Vernon School District,2004-05,981,3989,24.6
147,Voluntown School District,2004-05,99,334,29.6
148,Wallingford School District,2004-05,816,7133,11.4
151,Waterbury School District,2004-05,11376,17436,65.2
152,Waterford School District,2004-05,211,3114,6.8
153,Watertown School District,2004-05,382,3506,10.9
155,West Hartford School District,2004-05,1200,9940,12.1
156,West Haven School District,2004-05,3121,7037,44.4
154,Westbrook School District,2004-05,105,1025,10.2
157,Weston School District,2004-05,20,2533,0.8
158,Westport School District,2004-05,68,5280,1.3
159,Wethersfield School District,2004-05,402,3722,10.8
160,Willington School District,2004-05,51,580,8.8
161,Wilton School District,2004-05,21,4312,0.5
162,Winchester School District,2004-05,389,1083,35.9
163,Windham School District,2004-05,2042,3338,61.2
165,Windsor Locks School District,2004-05,364,1936,18.8
164,Windsor School District,2004-05,1165,4324,26.9
166,Wolcott School District,2004-05,416,2972,14
167,Woodbridge School District,2004-05,33,853,3.9
903,Woodstock Academy,2004-05,32,1075,3
169,Woodstock School District,2004-05,84,994,8.5
