District ID,District Name,School Year,Number Eligible for Free/ Reduced Price Lunch,Total Enrollment,Percent Eligible for Free/ Reduced Lunch
118,Ridgefield School District,2008-09,78,5538,1.4
119,Rocky Hill School District,2008-09,166,2613,6.4
121,Salem School District,2008-09,33,520,6.3
122,Salisbury School District,2008-09,28,319,8.8
123,Scotland School District,2008-09,44,190,23.2
124,Seymour School District,2008-09,441,2568,17.2
125,Sharon School District,2008-09,29,196,14.8
126,Shelton School District,2008-09,716,5547,12.9
127,Sherman School District,2008-09,9,458,2
270,Side By Side Community School District,2008-09,103,229,45
128,Simsbury School District,2008-09,257,4932,5.2
129,Somers School District,2008-09,92,1717,5.4
132,South Windsor School District,2008-09,281,4795,5.9
131,Southington School District,2008-09,514,6826,7.5
133,Sprague School District,2008-09,126,354,35.6
134,Stafford School District,2008-09,482,1903,25.3
282,Stamford Academy,2008-09,112,131,85.5
135,Stamford School District,2008-09,6441,14797,43.5
136,Sterling School District,2008-09,145,513,28.3
137,Stonington School District,2008-09,334,2494,13.4
138,Stratford School District,2008-09,1771,7288,24.3
139,Suffield School District,2008-09,119,2594,4.6
269,The Bridge Academy District,2008-09,189,262,72.1
902,The Gilbert School,2008-09,110,400,27.5
140,Thomaston School District,2008-09,164,1219,13.5
141,Thompson School District,2008-09,341,1389,24.6
142,Tolland School District,2008-09,141,3147,4.5
143,Torrington School District,2008-09,1491,4636,32.2
278,Trailblazers Academy District,2008-09,108,150,72
144,Trumbull School District,2008-09,198,6690,3
145,Union School District,2008-09,2,78,2.6
146,Vernon School District,2008-09,899,3583,25.1
147,Voluntown School District,2008-09,61,306,19.9
148,Wallingford School District,2008-09,628,6765,9.3
151,Waterbury School District,2008-09,13285,17833,74.5
152,Waterford School District,2008-09,302,2879,10.5
153,Watertown School District,2008-09,484,3336,14.5
155,West Hartford School District,2008-09,1712,10067,17
156,West Haven School District,2008-09,2927,6230,47
154,Westbrook School District,2008-09,89,968,9.2
157,Weston School District,2008-09,16,2585,0.6
158,Westport School District,2008-09,99,5709,1.7
159,Wethersfield School District,2008-09,455,3812,11.9
160,Willington School District,2008-09,59,565,10.4
161,Wilton School District,2008-09,34,4378,0.8
162,Winchester School District,2008-09,422,981,43
163,Windham School District,2008-09,2283,3214,71
165,Windsor Locks School District,2008-09,506,1845,27.4
164,Windsor School District,2008-09,1096,3969,27.6
166,Wolcott School District,2008-09,456,2855,16
167,Woodbridge School District,2008-09,27,755,3.6
903,Woodstock Academy,2008-09,32,1184,2.7
169,Woodstock School District,2008-09,101,926,10.9
279,Amistad Academy District,2007-08,310,547,56.7
1,Andover School District,2007-08,14,347,4
2,Ansonia School District,2007-08,1310,2730,48
244,Area Cooperative Educational Services,2007-08,473,1456,32.5
3,Ashford School District,2007-08,71,500,14.2
4,Avon School District,2007-08,98,3600,2.7
5,Barkhamsted School District,2007-08,17,328,5.2
7,Berlin School District,2007-08,201,3267,6.2
8,Bethany School District,2007-08,16,569,2.8
9,Bethel School District,2007-08,262,3142,8.3
11,Bloomfield School District,2007-08,885,2216,39.9
12,Bolton School District,2007-08,51,872,5.8
13,Bozrah School District,2007-08,36,264,13.6
14,Branford School District,2007-08,453,3418,13.3
285,Bridgeport Achievement First,2007-08,61,85,71.8
15,Bridgeport School District,2007-08,20201,20658,97.8
17,Bristol School District,2007-08,2835,8893,31.9
18,Brookfield School District,2007-08,74,2947,2.5
19,Brooklyn School District,2007-08,158,964,16.4
21,Canaan School District,2007-08,12,101,11.9
22,Canterbury School District,2007-08,90,577,15.6
23,Canton School District,2007-08,48,1725,2.8
241,Capitol Region Education Council,2007-08,676,2405,28.1
24,Chaplin School District,2007-08,41,210,19.5
25,Cheshire School District,2007-08,172,5096,3.4
26,Chester School District,2007-08,18,341,5.3
27,Clinton School District,2007-08,170,2106,8.1
28,Colchester School District,2007-08,263,3238,8.1
29,Colebrook School District,2007-08,13,122,10.7
30,Columbia School District,2007-08,33,588,5.6
268,Common Ground High School District,2007-08,100,153,65.4
900,Connecticut Technical High School System,2007-08,2683,9970,26.9
243,Cooperative Educational Services,2007-08,137,433,31.6
31,Cornwall School District,2007-08,7,129,5.4
32,Coventry School District,2007-08,189,1997,9.5
33,Cromwell School District,2007-08,223,1988,11.2
34,Danbury School District,2007-08,3294,9867,33.4
35,Darien School District,2007-08,81,4648,1.7
36,Deep River School District,2007-08,38,388,9.8
37,Derby School District,2007-08,589,1466,40.2
40,East Granby School District,2007-08,10,910,1.1
41,East Haddam School District,2007-08,83,1419,5.8
42,East Hampton School District,2007-08,154,2068,7.4
43,East Hartford School District,2007-08,3173,6959,45.6
44,East Haven School District,2007-08,1047,3641,28.8
45,East Lyme School District,2007-08,171,3200,5.3
47,East Windsor School District,2007-08,378,1469,25.7
253,Eastern Connecticut Regional Educational Service Center,2007-08,3,20,15
39,Eastford School District,2007-08,14,187,7.5
46,Easton School District,2007-08,6,1177,0.5
48,Ellington School District,2007-08,122,2598,4.7
289,Elm City College Preparatory School,2007-08,345,476,72.5
49,Enfield School District,2007-08,1416,6253,22.6
50,Essex School District,2007-08,18,549,3.3
272,Explorations District,2007-08,26,86,30.2
51,Fairfield School District,2007-08,492,9655,5.1
52,Farmington School District,2007-08,224,4136,5.4
53,Franklin School District,2007-08,22,233,9.4
54,Glastonbury School District,2007-08,312,6838,4.6
56,Granby School District,2007-08,104,2324,4.5
57,Greenwich School District,2007-08,798,8970,8.9
58,Griswold School District,2007-08,546,2137,25.5
59,Groton School District,2007-08,1500,5160,29.1
60,Guilford School District,2007-08,163,3815,4.3
62,Hamden School District,2007-08,1496,6161,24.3
